unique_id,sex,age,race
CTzm9,female,30,asian
JnC7Z,male,56,asian
znirf,male,26,caucasian
QuOtn,male,25,caucasian
EtXPm,female,29,caucasian
hWUVA,male,22,caucasian
gs77N,male,1,asian
zwiED,female,30,asian
211TX,female,42,caucasian
BqopO,male,52,caucasian
K8JSP,male,15,asian
U7Hl1,male,49,black
BGvFx,male,23,black
tMnjQ,male,1,caucasian
PTzBk,male,42,caucasian
G1nzp,female,38,caucasian
JOpfo,male,26,indian
otda4,female,26,black
nyBTT,male,45,black
8CX1z,male,64,caucasian
69fEh,female,2,asian
haiPb,male,32,asian
9EkF7,female,26,indian
ifHuN,male,33,black
bWLvf,male,26,black
Fycm6,male,82,asian
SUI0N,female,26,caucasian
RPzxg,female,8,caucasian
ZcrUY,male,22,black
hiK7b,male,42,black
Cc1ub,male,74,caucasian
xP1Fx,male,45,black
5wO9M,female,60,caucasian
pdaSY,female,26,indian
BO5c7,female,37,caucasian
nW76T,female,32,black
yTrKC,female,85,asian
Dp8UT,female,26,caucasian
tmY4R,female,36,indian
xYxtc,female,10,indian
0EN2y,female,18,caucasian
DT3gj,male,25,caucasian
It3tC,female,43,caucasian
46Td3,female,21,asian
7p9Gn,female,25,black
2xYJ0,male,66,caucasian
i5SQv,female,39,black
Xs875,male,26,other
TR93T,female,87,caucasian
Uv2YY,female,52,indian
Nq7NZ,male,1,other
HvXaY,female,15,caucasian
1bRSi,male,55,caucasian
cJeRB,male,34,black
yRags,female,35,caucasian
mIZ6W,female,14,indian
tmhtW,female,40,caucasian
Yfv91,female,24,asian
5G0wq,female,26,indian
Xz9JU,male,25,indian
DTIYE,male,22,hispanic
LI6pj,male,26,asian
6kq2f,male,45,indian
SM9Vm,male,1,caucasian
CyrFf,male,54,caucasian
LnTH6,female,52,caucasian
1QQew,female,14,caucasian
wonpK,female,26,asian
YvPUd,female,27,caucasian
OJLAz,male,1,asian
a6Vfz,female,29,black
AmDHx,male,44,black
Im4Ty,female,10,black
A8csP,female,38,caucasian
19gdi,male,52,caucasian
S0tiy,male,50,caucasian
7uhu2,male,35,caucasian
wNQbe,female,56,black
IrIBu,female,26,asian
fYWVc,male,57,caucasian
Bz8fi,female,30,black
KxCvu,male,1,asian
m9Bts,female,40,caucasian
l7IIS,female,4,caucasian
wnaLA,male,26,caucasian
jv0gA,male,1,other
n8dPd,male,54,caucasian
VBunJ,female,25,indian
hcdeA,female,80,caucasian
iVwJZ,female,67,caucasian
uUxBa,female,26,black
hJsS9,female,27,black
gIydK,male,32,black
qN2sF,male,20,hispanic
rT6Pp,male,47,caucasian
ridd5,male,41,caucasian
sTVcT,male,34,black
1pUCk,male,39,caucasian
bZ38h,male,26,indian
pycXG,male,77,caucasian
WYVdm,male,30,caucasian
TbMFS,male,29,caucasian
r50VH,male,40,black
7cUFO,female,26,indian
qUEJU,male,37,caucasian
Cs7Bn,female,25,caucasian
AMxmn,male,16,other
fNNUe,male,2,indian
bFHJv,male,36,caucasian
yfA2Y,male,32,black
H1nDD,male,35,caucasian
UnKou,male,55,caucasian
fNlIU,male,35,black
0T9JX,male,50,caucasian
sC4G0,male,28,black
YIhm1,male,78,black
IsGcj,male,28,black
704Lj,female,90,caucasian
RuCEa,female,60,black
